artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSE,2001,58,0.534,0.543,3
Cam’ron,Oh Boy,204706,TRUE,2002,67,0.754,0.767,6
Red Hot Chili Peppers,By the Way,216933,FALSE,2002,73,0.451,0.97,0
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,FALSE,2002,60,0.597,0.97,4
Atomic Kitten,The Tide Is High - Radio Mix,206093,FALSE,2002,65,0.783,0.649,7
*NSYNC,Girlfriend,253600,FALSE,2001,50,0.745,0.807,0
Robbie Williams,Somethin' Stupid,170493,FALSE,2001,64,0.654,0.515,0
Alanis Morissette,Hands Clean,269400,FALSE,2002,57,0.513,0.82,7
Usher,U Don't Have to Call,269400,TRUE,2001,59,0.793,0.568,1
Creed,One Last Breath - Radio Version,242000,FALSE,2015,47,0.38,0.725,2
The Goo Goo Dolls,Here Is Gone,238173,FALSE,2002,56,0.338,0.685,1
Puddle Of Mudd,She Hates Me,216760,TRUE,2001,70,0.58,0.748,4
Ludacris,Rollout (My Business),296586,TRUE,2001,60,0.921,0.668,7
Blazin' Squad,Crossroads - Radio Edit,188693,FALSE,2012,40,0.661,0.746,4
Default,Wasting My Time,268693,FALSE,2001,40,0.443,0.769,2
Michelle Branch,All You Wanted,217680,FALSE,2001,60,0.499,0.72,8
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,0.688,0.538,10
Enrique Iglesias,Escape,208626,FALSE,2001,56,0.776,0.844,11
Puddle Of Mudd,Blurry,303920,FALSE,2001,64,0.432,0.936,3
Coldplay,In My Place,226680,FALSE,2002,72,0.424,0.588,9
Outkast,The Whole World (feat. Killer Mike),295346,TRUE,2001,51,0.814,0.852,2
P!nk,Don't Let Me Get Me - Radio Edit,210693,FALSE,2001,60,0.624,0.85,0
50 Cent,In Da Club,193466,TRUE,2003,81,0.899,0.713,6
Sean Paul,Get Busy,211666,FALSE,2002,74,0.735,0.824,10
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,TRUE,2004,77,0.686,0.735,2
Beyoncé,Crazy In Love (feat. Jay-Z),236133,FALSE,2003,76,0.646,0.77,2
Counting Crows,Big Yellow Taxi,225426,FALSE,2003,50,0.669,0.873,8
Black Eyed Peas,Where Is The Love?,272533,FALSE,2003,68,0.835,0.687,5
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,FALSE,2002,70,0.845,0.768,6
Black Eyed Peas,Shut Up,296186,FALSE,2003,56,0.81,0.714,2
t.A.T.u.,All The Things She Said,214440,TRUE,2020,39,0.527,0.834,5
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,FALSE,2003,66,0.793,0.698,11
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,0.648,0.759,6
Panjabi MC,Mundian to Bach Ke,244666,FALSE,2003,61,0.778,0.879,8
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,FALSE,2004,59,0.734,0.668,0
JAY-Z,03' Bonnie & Clyde,205560,TRUE,2002,71,0.759,0.678,9
50 Cent,P.I.M.P.,249480,TRUE,2003,76,0.712,0.772,10
Jamelia,Superstar,215480,FALSE,2003,69,0.801,0.645,1
Linkin Park,Faint,162600,FALSE,2003,72,0.554,0.978,4
DMX,X Gon' Give It To Ya,217586,TRUE,2007,70,0.761,0.899,10
Evanescence,Bring Me To Life,235893,FALSE,2003,79,0.331,0.943,4
Sugababes,Hole In The Head,218173,FALSE,2003,57,0.785,0.933,6
Craig David,Rise & Fall (feat. Sting),287226,FALSE,2002,59,0.405,0.589,6
Three Days Grace,I Hate Everything About You,231480,FALSE,2003,72,0.498,0.83,6
Lil Jon & The East Side Boyz,Get Low,324600,FALSE,2002,47,0.78,0.604,1
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,FALSE,2003,62,0.835,0.68,1
Baby Bash,Suga Suga,239026,FALSE,2003,73,0.662,0.748,5
Aaliyah,Miss You - Main,245240,FALSE,2002,36,0.602,0.34,10
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,FALSE,2003,59,0.804,0.836,6
Blue,Sorry Seems To Be The Hardest Word,210066,FALSE,2004,57,0.564,0.6,7
Delta Goodrem,Lost Without You,248546,FALSE,2003,54,0.581,0.747,7
Justin Timberlake,Rock Your Body,267266,FALSE,2002,76,0.892,0.714,4
The White Stripes,Seven Nation Army,231920,FALSE,2003,3,0.741,0.469,4
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,TRUE,2003,54,0.772,0.724,6
Beyoncé,Baby Boy (feat. Sean Paul),244826,FALSE,2003,63,0.655,0.488,1
Lil' Kim,Magic Stick,359973,TRUE,2019,47,0.849,0.498,2
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,FALSE,2002,61,0.859,0.658,8
Nickelback,Someday,207466,FALSE,2003,68,0.455,0.858,11
Blue,U Make Me Wanna - Radio Edit,222400,FALSE,2003,48,0.6,0.736,7
Ashanti,Rain On Me,297960,FALSE,2003,50,0.606,0.699,8
Trapt,Headstrong,285569,TRUE,2002,72,0.492,0.896,4
Simply Red,Sunrise,199040,FALSE,2008,58,0.791,0.733,5
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,FALSE,2003,61,0.811,0.657,6
